SOURCE_ID	SOURCE_NAME	TARGET_ID	TARGET_NAME	PolysemyByFamily	DerivationByFamily
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-211	bastard	2	2
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-2783	spot of reflected light	2	2
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-685	coward	1	1
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-569	cloud	1	3
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-4473	white caps (on sea waves)	1	2
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-1113	fool	5	2
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-1016	fat (adj.)(of a person)	3	0
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-719	cunning person	3	0
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-1270	greedy	2	0
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-401	bully	2	0
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-222	bear (Ursus)	1	0
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-179	bad person	1	0
Zalizniak-2024-4583-2	animal	Zalizniak-2024-4583-713	cruel	1	0
Zalizniak-2024-4583-3	artiodactyl (even-toed animal)	Zalizniak-2024-4583-4411	woman	1	0
Zalizniak-2024-4583-4	abdomen	Zalizniak-2024-4583-1697	location of emotions	13	1
Zalizniak-2024-4583-4	abdomen	Zalizniak-2024-4583-2842	stomach	1	0
Zalizniak-2024-4583-4	abdomen	Zalizniak-2024-4583-4519	womb	1	0
Zalizniak-2024-4583-6	abies (Abies)	Zalizniak-2024-4583-1330	hazel grouse (Tetrastes bonasia)	0	1
Zalizniak-2024-4583-22	acorn	Zalizniak-2024-4583-577	clubs (in cards)	1	0
Zalizniak-2024-4583-22	acorn	Zalizniak-2024-4583-1550	jay	0	1
Zalizniak-2024-4583-23	acrobat, equilibrist	Zalizniak-2024-4583-719	cunning person	2	0
Zalizniak-2024-4583-24	act, deed	Zalizniak-2024-4583-837	drama (theatre)	1	0
Zalizniak-2024-4583-25	active	Zalizniak-2024-4583-561	clever	1	0
Zalizniak-2024-4583-25	active	Zalizniak-2024-4583-1577	keen (of senses, mind)	1	0
Zalizniak-2024-4583-26	activity	Zalizniak-2024-4583-608	commerce, business	2	1
Zalizniak-2024-4583-34	Advent	Zalizniak-2024-4583-761	December	1	0
Zalizniak-2024-4583-38	after	Zalizniak-2024-4583-4560	younger	0	1
Zalizniak-2024-4583-38	after	Zalizniak-2024-4583-646	consequently	1	1
Zalizniak-2024-4583-39	afterbirth, placenta	Zalizniak-2024-4583-2632	sibling	0	1
Zalizniak-2024-4583-45	ahead	Zalizniak-2024-4583-901	elder	1	0
Zalizniak-2024-4583-46	aim, goal	Zalizniak-2024-4583-1227	goal (sport result)	1	0
Zalizniak-2024-4583-47	air	Zalizniak-2024-4583-4443	weather	1	0
Zalizniak-2024-4583-47	air	Zalizniak-2024-4583-102	appearance; look	1	0
Zalizniak-2024-4583-47	air	Zalizniak-2024-4583-36	aër (veil covering vessels in the Orthodox Church)	1	0
Zalizniak-2024-4583-47	air	Zalizniak-2024-4583-1730	lung	0	1
Zalizniak-2024-4583-47	air	Zalizniak-2024-4583-1671	light-headed	1	0
Zalizniak-2024-4583-47	air	Zalizniak-2024-4583-317	blue	0	1
Zalizniak-2024-4583-48	air, atmosphere	Zalizniak-2024-4583-71	ambience, vibe	2	0
Zalizniak-2024-4583-52	albumen, white of an egg	Zalizniak-2024-4583-2307	protein	2	2
Zalizniak-2024-4583-53	alder (tree)	Zalizniak-2024-4583-619	common minnow	0	2
Zalizniak-2024-4583-53	alder (tree)	Zalizniak-2024-4583-621	common redstart	0	1
Zalizniak-2024-4583-53	alder (tree)	Zalizniak-2024-4583-313	blood	1	0
Zalizniak-2024-4583-54	algae	Zalizniak-2024-4583-1762	many, much	1	0
Zalizniak-2024-4583-56	alive	Zalizniak-2024-4583-2331	quick	1	1
Zalizniak-2024-4583-56	alive	Zalizniak-2024-4583-25	active	2	0
Zalizniak-2024-4583-57	All Saints' Day	Zalizniak-2024-4583-2013	November	0	1
Zalizniak-2024-4583-59	almond	Zalizniak-2024-4583-4239	tonsil	4	3
Zalizniak-2024-4583-59	almond	Zalizniak-2024-4583-1496	index finger	0	1
Zalizniak-2024-4583-62	alone	Zalizniak-2024-4583-2064	only, just	2	0
Zalizniak-2024-4583-62	alone	Zalizniak-2024-4583-1880	monk	1	0
Zalizniak-2024-4583-62	alone	Zalizniak-2024-4583-1230	god	1	0
Zalizniak-2024-4583-68	always	Zalizniak-2024-4583-2834	still (adv.)	1	0
Zalizniak-2024-4583-68	always	Zalizniak-2024-4583-4241	too much	1	0
Zalizniak-2024-4583-70	amber	Zalizniak-2024-4583-908	electricity	2	1
